Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Price_in_taka,Location
Nice 1240 Sq Ft Flat Is Available For Sale In Dakkhin Paikpara,3,3,8,vacant,1240,dhaka,8700000.00,"Dakkhin Paikpara, Mirpur"
1504 Sq Ft Flat Is For Sale In The Thriving Arena Of Keraniganj,3,3,1,vacant,1504,dhaka,7100000.00,Keraniganj
Find 750 Sq Ft Flat Available For Sale In Kadamtali,2,2,5,vacant,750,dhaka,4000000.00,"Kadamtali, Shyampur"
"Buy This Nice 750 Sq Ft Flat In Kadamtali, To Fulfill Your Wish",2,2,7,vacant,750,dhaka,3500000.00,"Kadamtali, Shyampur"
2.75 Katha Residential Plot For Sale In Mirpur-11,,,,vacant,1980,dhaka,18000000.00,"Section 11, Mirpur"
Worthy 1585 SQ FT residence is for sale at Aftab Nagar,3,5,2,vacant,1585,dhaka,14000000.00,"Block C, Aftab Nagar"
1485 Sq ft Apartment with 3 bedrooms For Sale in Mohammadpur,3,3,8,vacant,1485,dhaka,13200000.00,"Jahuri Moholla, Mohammadpur"
"1545 Sq Ft Flat With 3 Modest Bedrooms For Sale In Mirpur-2, Block C",3,3,5,vacant,1545,dhaka,14000000.00,"Section 2, Mirpur"
Completely suitable and ready flat of 1050 SQ FT for Sale in Kallyanpur,3,3,6,vacant,1050,dhaka,8200000.00,"Kallyanpur, Mirpur"
A Residential Building Of 5600 Sq Ft With 2.5 Katha Land Is Available For Sale In East Shewrapara,16,10,,vacant,5600,dhaka,32500000.00,"East Shewrapara, Mirpur"
"Near Rampura Thana, 900 Sq.ft And 2 Bedroom Flat For Sale In West Rampura",2,2,5,vacant,900,dhaka,4100000.00,"West Rampura, Rampura"
1340 Sq.ft Apartment Is For Sale Close To Muslim para Jame Masjid At Madhya Ajampur,3,3,3,vacant,1340,dhaka,6200000.00,"Madhya Ajampur, Dakshin Khan"
"1400 Sq Ft Flat With 3 Bedrooms Is Up For Sale In Mohammadpur, Mohammadia Housing Society",3,3,7,vacant,1400,dhaka,11500000.00,"Mohammadia Housing Society, Mohammadpur"
A Nicely Build 1275 Sq Ft And 3 Bedroom Apartment Is Vacant For Sale In Uttar Badda .,3,3,3,vacant,1275,dhaka,8000000.00,"Uttar Badda, Badda"
"Spacious Office Space Of 1245 Sq Ft Is Waiting For sale In Block C, Niketan",,,3,vacant,1245,dhaka,15500000.00,"Block C, Niketan"
"An Apartment Is Up For Sale In Ibrahimpur, Near Ibrahimpur Central Jame Masjid.",2,2,5,vacant,1050,dhaka,4800000.00,"North Ibrahimpur, Ibrahimpur"
A Decent Apartment In Mohakhali Near Jabala ICDDRB Is Up For Sale,2,2,5,vacant,850,dhaka,5500000.00,"Dakhshin Para, Mohakhali"
Flat For Sale In West Agargaon Nearby Bangladesh Public Service Commission,3,4,2,vacant,1440,dhaka,7300000.00,"West Agargaon, Agargaon"
"You Can Move Into This Well Planned And Comfortable Residential Flat In Uttara Sector 11 For Sale , Of 948 Sq Ft, Near Shaheed Monsur Ali Medical College And Hospital",2,3,5,vacant,948,dhaka,7000000.00,"Sector 11, Uttara"
Stunning 2644 Square Feet Apartment For Sale In Gulshan 1,4,4,5,vacant,2644,dhaka,35000000.00,"Gulshan 1, Gulshan"
Convenient 800 Square Feet Apartment For Sale In Dhanmondi,2,2,6,vacant,800,dhaka,6950000.00,"North Circular Road, Dhanmondi"
A 2000 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Bashundhara R-a,4,4,5,vacant,2000,dhaka,22000000.00,"Block B, Bashundhara R-A"
"1593 Sq Ft Nicely Planned Apartment Is Available For Sale In Lalmatia, Block B",3,3,4,vacant,1593,dhaka,21500000.00,"Block B, Lalmatia"
A 1220 Sq Ft Home Is Available To Sale In West Shewrapara,3,2,6,vacant,1220,dhaka,5000000.00,"West Shewrapara, Mirpur"
1040 Sq Ft Properly Developed Flat For Sale In Rajanigandha Residential Area,2,2,1,vacant,1040,dhaka,6500000.00,"Section 15, Mirpur"
"A 1620 Sq Ft Residential Apartment For Sale, In Block C, Khilgaon",3,3,4,vacant,1620,dhaka,16500000.00,"Block C, Khilgaon"
Flat For Sale Covering A Beautiful Area In Bashundhara R-a Nearby Basundhara Residential Area Puja Mondop.,3,3,4,vacant,1550,dhaka,14500000.00,"Block I, Bashundhara R-A"
"1000 Sq Ft Apartment For Sale In Pallabi, Mirpur",2,2,5,vacant,1000,dhaka,5500000.00,"Pallabi, Mirpur"
"We Offer You An Excellent And Spacious Commercial Space Of 1840 Sq Ft At Tejgaon, For Sale",,,3,vacant,1840,dhaka,46000000.00,"Hatir Jheel Link Road, Tejgaon"
A Standard Apartment In Mirpur Near To M.A Zabbar Memorial High School Is Up For Sale,2,2,2,vacant,740,dhaka,4000000.00,"Pirerbag, Mirpur"
An Attractively Designed 1250 Sq Ft Apartment For Sale In Mirpur Section 10,3,3,6,vacant,1250,dhaka,7800000.00,"Section 10, Mirpur"
"Buy This Modest 1430 Sq Ft Flat In Bashundhara R-a, Block J",3,3,5,vacant,1430,dhaka,12000000.00,"Block J, Bashundhara R-A"
Celebrate Life Each Day In Your New Apartment Of 1690 Sq Ft At Boro Maghbazar With Your Beloved Family,3,3,1,vacant,1690,dhaka,14800000.00,"Boro Maghbazar, Maghbazar"
A 1330 Square Ft. Apartment Is For Sale At Banasree,3,3,1,vacant,1330,dhaka,7900000.00,"Block B, Banasree"
An Impressive 1230 Sq Ft Residential Apartment Is Up For Sale In The Center Of East Shewrapara Near To Jheelpar Jame Masjid,3,3,2,vacant,1230,dhaka,7400000.00,"East Shewrapara, Mirpur"
An Apartment Of 1700 Sq Ft Is Ready For Sale At Uttara,3,3,7,vacant,1700,dhaka,17000000.00,"Sector 7, Uttara"
"1300 Sq Ft Residential Apartment Is Up For Sale At Uttara, Sector 10",3,3,6,vacant,1300,dhaka,8000000.00,"Sector 10, Uttara"
A Convenient 1175 Sq Ft Residential Apartment Is Prepared For Sale At South Pirerbag,3,2,6,vacant,1175,dhaka,6300000.00,"Pirerbag, Mirpur"
"In East Monipur , 1265 Square Feet Apartment Is For Sale.",3,3,6,vacant,1265,dhaka,8500000.00,"East Monipur, Mirpur"
"Residential Apartment For Sale in Tipu Sultan Road, Middle Pirerbag",3,2,7,vacant,1000,dhaka,5700000.00,"Pirerbag, Mirpur"
A Delightful Apartment Of 1554 Sq Ft Is Ready For Sale In A Great Location Of Pallabi,3,3,1,vacant,1554,dhaka,11500000.00,"Pallabi, Mirpur"
