Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Price_in_taka,Location
1400 Sq Ft Residential Apartment For Sale In Mirpur,3,3,2,vacant,1400,dhaka,8400000.00,"Ahmed Nagar, Mirpur"
Covering 1204 Sq Ft Space A Nice Flat Is Ready To Sale In Mirpur,3,3,6,vacant,1204,dhaka,7500000.00,"Ahmed Nagar, Mirpur"
1350 Sq Ft Residential Flat For Sale In Mirpur,3,3,5,vacant,1350,dhaka,9500000.00,"Pallabi, Mirpur"
"2400 Sq Ft Spacious Flat For Sale In Banasree, Block F",4,4,5,vacant,2400,dhaka,20800000.00,"Block F, Banasree"
"At Pallabi, A Suitable Flat Is Up For Sale Which Is 1050 Sq Ft",2,2,4,vacant,1050,dhaka,6300000.00,"Pallabi, Mirpur"
Modest 1100 Sq Ft Flat For Sale In Banasree,3,2,3,vacant,1100,dhaka,8500000.00,"Block E, Banasree"
"Here Is A Well Defined Flat Of 1700 Sq Ft Waiting For Sale At Section 7, Mirpur",3,3,3,vacant,1700,dhaka,13600000.00,"Section 7, Mirpur"
"Well Organized Flat Of 1700 Sq Ft Is Now Vacant For Sale In Section 7, Mirpur",3,3,3,vacant,1700,dhaka,13600000.00,"Section 7, Mirpur"
We Are Offering You A 3660 Sq Ft Flat For Sale In Gulshan 2,4,4,1,vacant,3660,dhaka,109800000.00,"Gulshan 2, Gulshan"
1200 Sq Ft Apartment Is Ready For Sale In Mohammadpur,3,3,1,vacant,1200,dhaka,6700000.00,"Shekhertek, Mohammadpur"
"Start A New Home, In This, 1370 Sq Ft Flat For Sale In Green Road",3,4,4,vacant,1370,dhaka,9500000.00,"Green Road, Kalabagan"
Visit This Apartment For Sale In West Nakhalpara Near Nakhalpara Chhapra Mosjid.,3,2,1,vacant,1150,dhaka,6500000.00,"West Nakhalpara, Tejgaon"
840 SQ FT flat is now Vacant for sale in Kafrul,2,2,8,vacant,840,dhaka,5000000.00,"North Kafrul Rd, Kafrul"
"5 Katha Residential Plot Is Up For Sale In Bashundhara R-a, Block N",,,,vacant,3600,dhaka,42000000.00,"Block N, Bashundhara R-A"
"Ensure This 1450 Sq Ft Apartment To Reside In, By Buying It In Ibrahimpur",3,3,6,vacant,1450,dhaka,9500000.00,"Monipuri School Road, Ibrahimpur"
3 Katha Plot is now available for sale in Purbachal- Sector 17,,,,vacant,2160,dhaka,29000000.00,"Sector 17, Purbachal"
"1050 Sq Ft Apartment With 2 Balconies For Sale In Mirpur, Ahmed Nagar",3,2,1,vacant,1050,dhaka,5500000.00,"Ahmed Nagar, Mirpur"
Nice 1050 SQ FT flat is available for sale in Taltola,2,2,3,vacant,1050,dhaka,5000000.00,"Taltola, Agargaon"
A Nice Apartment For Sale In Mirpur Near Brac Bank,2,2,5,vacant,650,dhaka,3200000.00,"Section 6, Mirpur"
An Easy Accessible 1618 Sq Ft Ready Apartment Suitable For Family Close To Polwel Carnation At Uttara Is Up For Sale.,3,3,3,vacant,1618,dhaka,12500000.00,"Sector 9, Uttara"
"5 Katha Plot For Sale In Bashundhara R-a, Block I",,,,vacant,3600,dhaka,34000000.00,"Block I, Bashundhara R-A"
2280 Square Feet Flat With Various Features Is Available For Sale In Bashundhara R/a,4,4,2,vacant,2280,dhaka,25000000.00,"Block D, Bashundhara R-A"
"Picture Yourself, Residing In This Well-constructed And Planned 1450 Sq Ft Apartment In Bashundhara R-a Which Is Now For Sale",3,3,6,vacant,1450,dhaka,12000000.00,"Block E, Bashundhara R-A"
"Buy This Great 1290 Sq Ft Residential Flat In Mirpur-1, North Bishil",3,3,2,vacant,1290,dhaka,6500000.00,"Section 1, Mirpur"
"1300 Sq Ft Apartment With 3 Bedrooms For Sale In Hazaribag, Jigatola",3,3,1,vacant,1300,dhaka,6000000.00,"Jigatola, Hazaribag"
Buy This 772 Sq Ft Apartment In Mirpur-10,2,2,8,vacant,772,dhaka,4300000.00,"Section 10, Mirpur"
"3 Katha Great Plot Is Ready For Sale In Purbachal, Sector 24",,,,vacant,2160,dhaka,24500000.00,"Sector 24, Purbachal"
Offering You 1495 Sq Ft Flat For Sale In Ranavola,3,3,7,vacant,1495,dhaka,7000000.00,"Ranavola, Turag"
"650 Sq. Ft. Flat Is Now Up For Sale Located In Mirpur, Block C",2,2,1,vacant,650,dhaka,3500000.00,"Section 12, Mirpur"
Plan To Move In This 650 Sq Ft Flat Which Is Up For Sale In Mirpur 12,2,2,4,vacant,650,dhaka,3200000.00,"Section 12, Mirpur"
Find 1200 Sq Ft Flat Available For Sale In Paikpara,3,3,6,vacant,1200,dhaka,5500000.00,"Ahmed Nagar, Mirpur"
"Choose Your Destination, 1200 Sq Ft Flat Which Is Available For Sale In Ahmed Nagar",3,3,5,vacant,1200,dhaka,5500000.00,"Ahmed Nagar, Mirpur"
Offering You 1200 Sq Ft Flat For Sale In Paikpara,3,3,1,vacant,1200,dhaka,5500000.00,"Ahmed Nagar, Mirpur"
"This Comfy Flat Is Vacant Right Now For Sale In East Kazipara, Which Is 1120 Sq Ft",3,2,9,vacant,1120,dhaka,5500000.00,"East Kazipara, Mirpur"
800 Sq Ft Flat Is Now For Sale In West Ahmed Nagar,2,2,3,vacant,800,dhaka,4000000.00,"Ahmed Nagar, Mirpur"
New with a view – 1000 SQ FT Flat for Sale in West Shewrapara,3,2,1,vacant,1000,dhaka,6000000.00,"West Shewrapara, Mirpur"
Deal With This 1030 Sq Ft Apartment For Sale In Mirpur-7,3,2,6,vacant,1030,dhaka,6000000.00,"Section 7, Mirpur"
At Mirpur Flat For Sale Close To Prince Bazar,3,3,9,vacant,1250,dhaka,6700000.00,"Section 1, Mirpur"
"1105 Square Feet Flat Is Waiting For Sale At Begum Rokeya Sharani, East Kazipara",3,3,7,vacant,1105,dhaka,7500000.00,"East Kazipara, Mirpur"
A 2374 Square Feet Residential Apartment For Sale At Bashundhara R-A Close To Sunflower School And College.,3,3,2,vacant,2374,dhaka,26500000.00,"Block A, Bashundhara R-A"
"Live Pleasantly In This 970 Sq Ft Apartment For Sale In East Kazipara, Mirpur",2,2,1,vacant,970,dhaka,4000000.00,"East Kazipara, Mirpur"
Buy This 1239 Sq Ft Flat With 3 Bedrooms For Sale In Uttara-12,3,3,6,vacant,1239,dhaka,11000000.00,"Sector 12, Uttara"
"1040 Sq Ft Apartment With 2 Bedrooms For Sale In Section 15, Mirpur",2,2,5,vacant,1040,dhaka,6200000.00,"Section 15, Mirpur"
"View This 1350 Sq Ft Residential Flat For Sale In Mirpur, Middle Monipur",3,3,1,vacant,1350,dhaka,8500000.00,"Middle Monipur, Mirpur"
1660 Sq Ft Decent Flat With 3 Bedrooms For Sale In Uttara-12,3,3,1,vacant,1660,dhaka,10500000.00,"Sector 12, Uttara"
"Take A Look At This 1497 Sq Ft Apartment For Sale In Agargaon, Taltola",4,4,1,vacant,1497,dhaka,9500000.00,"Taltola, Agargaon"
Suitable 1000 Sq Ft Residential Flat For Sale In Mirpur,3,2,4,vacant,1000,dhaka,6500000.00,"Section 1, Mirpur"
"At Mirpur, A 700 Sq Ft Residential Property Is On Sale",3,1,5,vacant,700,dhaka,2000000.00,"Section 1, Mirpur"
"Make This 925 Sq Ft Flat Your Next Residing Location, Which Is Up To Sale In Uttara Near City Bank",2,2,5,vacant,925,dhaka,5500000.00,"Sector 12, Uttara"
"1250 Square Feet Residential Flat For Sale In Dakshin Khan, Faydabad",3,3,4,vacant,1250,dhaka,7000000.00,"Faydabad, Dakshin Khan"
"View This 1750 Sq Ft Flat For Sale In South Baridhara Residential Area, D.i.t. Project",3,3,4,vacant,1750,dhaka,11000000.00,"South Baridhara Residential Area,D. I. T. Project, Badda"
"Live At Peace In A Nice And Comfortable 1750 Sq Ft Flat, Located At Bashundhara.",3,3,1,vacant,1750,dhaka,16000000.00,"Block F, Bashundhara R-A"
Ready Flat For Sale In Badhundhara R/a Nearby Rupayan Shopping Complex,3,3,7,vacant,1600,dhaka,14500000.00,"Block F, Bashundhara R-A"
"Well Organized Flat Of 1350 Sq Ft Is Now Vacant For Sale In Sector 11, Uttara",3,3,6,vacant,1350,dhaka,13500000.00,"Sector 11, Uttara"
Lovely Apartment Of 852 Sq Ft Is Up For Sale In Middle Monipur,2,2,8,vacant,852,dhaka,4800000.00,"Middle Monipur, Mirpur"
"1850 Square Feet Flat With Cozy Rooms Is Available For Sale In Bashundhara R-a, Block F",3,3,5,vacant,1850,dhaka,15725000.00,"Block F, Bashundhara R-A"
Ready To Move In! Check This 1675 Sq. Ft Apartment For Sale In Dakshin Khan,4,4,8,vacant,1675,dhaka,11500000.00,"Madhya Ajampur, Dakshin Khan"
Suitable 1250 Sq Ft Residential Flat For Sale In Rupnagar R/A,3,3,2,vacant,1250,dhaka,7500000.00,"Rupnagar R/A, Mirpur"
"1250 Sq Ft Flat Is Being Constructed For Sale In Badda, Merul Badda",3,3,3,vacant,1250,dhaka,7500000.00,"Merul Badda, Badda"
At Nobodoy Housing Society 700 Square Feet Flat Is For Sale,2,2,5,vacant,700,dhaka,3000000.00,"Nobodoy Housing Society, Mohammadpur"
Nearly Finished 1350 Sq Ft Residential Flat For Sale In Mirpur 10,3,3,3,vacant,1350,dhaka,13500000.00,"Section 10, Mirpur"
1400 Sq Ft Flat For Sale In Merul Badda,3,3,4,vacant,1400,dhaka,8500000.00,"Merul Badda, Badda"
"Perfect For A Family Home, This Apartment Of 970 Sq Ft Is Up For Sale In Merul Badda",2,2,2,vacant,970,dhaka,8500000.00,"Merul Badda, Badda"
"Reside Conveniently In This Well Constructed 1760 Sq Ft Flat For Sale In Maghbazar, Near The Millennium University.",4,4,10,vacant,1760,dhaka,14500000.00,"Outer Circular Road, Maghbazar"
Suitable 1360 Sq Ft Residential Apartment For Sale In Chandrima Model Town,3,3,9,vacant,1360,dhaka,7500000.00,"Chandrima Model Town, Mohammadpur"
"1600 Square Feet Flat For Sale In Aftab Nagar, Block D",3,3,1,vacant,1600,dhaka,12800000.00,"Block D, Aftab Nagar"
Grab A 3 Bedroom Flat For Sale At Lalmatia,3,4,4,vacant,2060,dhaka,32960000.00,"Block C, Lalmatia"
Three Bed Good Location Flat For Sale At Lalmatia,3,4,2,vacant,2060,dhaka,32960000.00,"Block C, Lalmatia"
"1960 Sq Ft Standard Apartment For Sale In Mohammadpur, Babar Road",4,4,6,vacant,1960,dhaka,23520000.00,"Babar Road, Mohammadpur"
Checkout This 1500 Sq Ft Flat For Sale In Mirpur-6,3,3,8,vacant,1500,dhaka,11500000.00,"Section 6, Mirpur"
Uttara-6 Is Offering You A 2110 Sq Ft Apartment Ready For Sale,4,4,8,vacant,2110,dhaka,28485000.00,"Sector 6, Uttara"
"Visit This Apartment For Sale In Mirpur, 2nd Colony",2,2,5,vacant,750,dhaka,2625000.00,"2nd Colony, Mirpur"
A 1800 Sq Ft Flat Is Here For Sale At Mohammadpur,4,4,2,vacant,1800,dhaka,14400000.00,"Bash Bari Road, Mohammadpur"
"Invest In This 3 Katha Plot Ready For Sale In Demra, Amulia Model Town",,,,vacant,2184,dhaka,6000000.00,"Amulia Model Town, Demra"
"1120 Sq Ft Flat Is Up For Sale With Durable Fittings In Ibrahimpur, North Kafrul Road",3,3,8,vacant,1120,dhaka,5040000.00,"North Kafrul Road, Ibrahimpur"
"1255 Sq Ft Residential Apartment For Sale In Jhigatola Road, Dhanmondi",3,3,12,vacant,1255,dhaka,19452500.00,"Jhigatola Road, Dhanmondi"
Check This 1250 Sq.ft -3 Bedroom Apartment Up For Sale At Cantonment Very Near To Manikdi Islamia Senior Madrasha.,3,3,3,vacant,1250,dhaka,5000000.00,"Manikdi, Cantonment"
2450 Square Feet Residential Apartment Up For Sale At Uttara -11.,4,4,9,vacant,2450,dhaka,31000000.00,"Sector 11, Uttara"
"Plan To Move In This 1300 Sq Ft Flat Which Is For Sale In Mirbag Notun Rasta, Maghbazar",3,3,7,vacant,1300,dhaka,11050000.00,"Mirbag Notun Rasta, Maghbazar"
"Look At This Nice 1200 Sq Ft Flat Is Up For Sale At Section 1, Mirpur",3,3,6,vacant,1200,dhaka,8700000.00,"Section 1, Mirpur"
"A 1450 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Block H, Banasree",3,3,9,vacant,1450,dhaka,11500000.00,"Block H, Banasree"
1450 Sq Ft Vacant Flat For Family Is Ready For Sale At Uttara Close To North Tower,3,3,5,vacant,1450,dhaka,9500000.00,"Sector 10, Uttara"
View This 1680 Sq Ft Ready Flat For Sale In Khilkhet,3,3,6,vacant,1680,dhaka,8400000.00,"Dorji Bari Road, Khilkhet"
"A Perfect Flat Of 1000 Sq Ft For Living With Family Is Available For Sale At Janata Housing, Mirpur",3,2,3,vacant,1000,dhaka,6500000.00,"Section 1, Mirpur"
1100 Sq Ft Residential Apartment For Sale In Mirpur 10,3,3,2,vacant,1100,dhaka,6700000.00,"Section 10, Mirpur"
1400 Sq Ft Residential Flat For Sale In Mirpur-10,3,3,2,vacant,1400,dhaka,9200000.00,"Section 10, Mirpur"
"950 Sq Ft Flat For Sale In East Rampura, Tv Road",3,2,,vacant,950,dhaka,7000000.00,"East Rampura, Rampura"
Lovely Apartment Of 950 Sq Ft Is Up For Sale In East Rampura,2,2,4,vacant,950,dhaka,6700000.00,"East Rampura, Rampura"
1150 Sq Feet Flat For Sale Close To Darussalam Government Primary School,3,3,2,vacant,1150,dhaka,5750000.00,"Darussalam, Mirpur"
1350 Sq Ft Flat Is Ready To Sale In Mirpur-10,3,3,1,vacant,1350,dhaka,10150000.00,"Section 10, Mirpur"
"2050 Square Feet Flat Is Available For Sale In Bashundhara R-a, Block C",4,4,6,vacant,2050,dhaka,21525000.00,"Block C, Bashundhara R-A"
"Picture Yourself, Residing In This Well Constructed And Planned 850 Sq Ft Flat In Mirpur For Sale",2,2,5,vacant,850,dhaka,4000000.00,"West Kazipara, Mirpur"
"1120 Sq Ft Flat For Family, Is Ready For Sale At Mirpur",3,3,1,vacant,1120,dhaka,5600000.00,"Section 2, Mirpur"
1100 Sq Ft Flat For Sale In Mirpur Section 6,3,3,5,vacant,1100,dhaka,8000000.00,"Section 6, Mirpur"
View This Cozy 1100 Square Feet Apartment For Sale In Manikdi,3,2,3,vacant,1100,dhaka,4950000.00,"Manikdi, Cantonment"
"Lead Your Life In This 1450 Sq Ft Flat Up For Sale In Badda, Khilbari Tek",3,3,2,vacant,1450,dhaka,10150000.00,"Khilbari Tek, Badda"
Banasree Is Offering You A 1940 Sq Ft Apartment Ready For Sale,4,4,9,vacant,1940,dhaka,13968000.00,"Block J, Banasree"
Buy This 1350 Sq Ft Apartment Available In Uttar Badda,3,3,3,vacant,1350,dhaka,8000000.00,"Uttar Badda, Badda"
"1322 Sq Ft Nicely Planned Apartment Is Available For Sale In Shahjadpur, Badda",3,3,4,vacant,1322,dhaka,9000000.00,"Shahjadpur, Badda"
"1635 Sq Ft Apartment Is Ready For Sale In Aftab Nagar, Block G",4,3,1,vacant,1635,dhaka,10627500.00,"Block G, Aftab Nagar"
"1850 Sq Ft Apartment Is Ready For Sale In Aftab Nagar, Block E, Sector 1",3,3,2,vacant,1850,dhaka,14800000.00,"Block E, Aftab Nagar"
"Pick This 1325 Sq Ft Apartment For Sale In Aftab Nagar, Block F",3,3,1,vacant,1325,dhaka,9275000.00,"Block F, Aftab Nagar"
5000 Sq Ft Commercial Space For Sale In Shantinagar,,,4,vacant,5000,dhaka,60000000.00,"Shantinagar Road, Shantinagar"
"Buy This 1220 Sq Ft Flat In Taltola, Khilgaon",3,3,5,vacant,1220,dhaka,9500000.00,"Taltola, Khilgaon"
Property For Sale In Bashundhara R-A – 2025 Sq Ft Apartment,3,4,1,vacant,2025,dhaka,19000000.00,"Block I, Bashundhara R-A"
"To Live A Secure Life You Can Take This 1275 Sq Ft Flat For Sale At Kallyanpur, Mirpur",3,3,8,vacant,1275,dhaka,8600000.00,"Kallyanpur, Mirpur"
"1570 Sq Ft Convenient Apartment Is Here Ready For Sale In Shah Ali Bag, Mirpur",4,4,7,vacant,1570,dhaka,12500000.00,"Section 1, Mirpur"
We Are Offering A Reasonably Priced Flat For Sale Which Is Featuring 800 Sq Ft Space In Baitul Aman Housing Society,2,2,6,vacant,800,dhaka,5600000.00,"Baitul Aman Housing Society, Adabor"
"Get This 950 Sq Ft Flat For Sale In Kazipara, Mirpur",2,2,8,vacant,950,dhaka,6100000.00,"East Kazipara, Mirpur"
"Checkout This 1000 Sq Ft Flat Set To Sale In Mirpur, East Kazipara",2,2,8,vacant,1000,dhaka,6500000.00,"East Kazipara, Mirpur"
"Deal With This 975 Sq Ft Flat Up For Sale In Kazipara, Mirpur",2,2,6,vacant,975,dhaka,6300000.00,"East Kazipara, Mirpur"
"Visit This 1000 Sq Ft Flat, Which Is Up For Sale In Mirpur, East Kazipara",2,2,6,vacant,1000,dhaka,6500000.00,"East Kazipara, Mirpur"
"Look At This Nice 980 Sq Ft Flat Is Up For Sale At Section 10, Mirpur",2,2,3,vacant,980,dhaka,5500000.00,"Section 10, Mirpur"
"Pursue This 975 Sq Ft Flat Up For Sale In East Kazipara, Mirpur",2,2,3,vacant,975,dhaka,6337500.00,"East Kazipara, Mirpur"
"1285 Sq Ft Apartment With 3 Bedrooms For Sale In Banasree, Block D",3,3,2,vacant,1285,dhaka,11000000.00,"Block D, Banasree"
"Grab This Great 1610 Sq Ft Flat Up For Sale In Lalmatia, Block B",3,4,4,vacant,1610,dhaka,23000000.00,"Block B, Lalmatia"
"5 Katha Plot is now available for sale in Purbachal, Sector 22",,,,vacant,3640,dhaka,24000000.00,"Sector 22, Purbachal"
Get Hold Of This 650 Sq Ft Residential Flat For Sale In Mirpur-6,2,2,4,vacant,650,dhaka,2800000.00,"Section 6, Mirpur"
"Live Comfortably In This 1550 Sq Ft Residential Flat, Up For Sale In Mirpur, Baitur Rowshan Jame Masjid Road",3,3,1,vacant,1550,dhaka,8600000.00,"Middle Monipur, Mirpur"
"930 Sq Ft Flat For Sale In Mirpur, Middle Monipur, Baitur Rowshan Jame Masjid Road",2,2,1,vacant,930,dhaka,5200000.00,"Middle Monipur, Mirpur"
Acquire This 930 Sq Ft With 2 Bedrooms Flat Which Is Up For Sale In Middle Monipur Beside To Baitur Rowshan Jame Masjid .,2,2,3,vacant,930,dhaka,5200000.00,"Middle Monipur, Mirpur"
2400 Sq Ft Ready Flat For Sale In Uttara-7,4,4,9,vacant,2400,dhaka,26000000.00,"Sector 7, Uttara"
"1400 Sq Ft Apartment For Sale In Ak Fazlul Haque Babu Rd, East Kazipara, Mirpur",3,3,4,vacant,1400,dhaka,6300000.00,"East Kazipara, Mirpur"
A 5 Katha Residential Plot For Sale At Manda Road,,,,vacant,3600,dhaka,39000000.00,"Manda Road, Mugdapara"
"Make this 1310 SQ FT flat your next residing location, which is up for sale in Mirpur",3,3,7,vacant,1310,dhaka,9200000.00,"Kallyanpur, Mirpur"
Graceful Flat Of 850 Sq Ft Is Prepared For Sale In Pallabi Eastern Housing.,2,2,5,vacant,850,dhaka,2500000.00,"Pallabi, Mirpur"
A Modern Well-planned Flat Of 1256 Sq Ft Is Up For Sale Is Situated In Aftab Nagar,3,2,5,vacant,1256,dhaka,6500000.00,"Block H, Aftab Nagar"
We Have A 1200 Sq.Ft -3 Bedroom Flat For Sale In Uttar Badda Nearby AMZ Hospital Ltd.,3,3,9,vacant,1200,dhaka,6050000.00,"Uttar Badda, Badda"
Comfortable And Nicely Planned 1530 Sq Ft Flat In Shegunbagicha For Sale,3,3,9,vacant,1530,dhaka,15500000.00,"Topkhana Road, Shegunbagicha"
"This 650 Sq Ft Apartment For Sale In Mirpur Section 12, Next To Doctor Muhammad Shahidullah Adarsha Uchcha Madhyamik Bidyapith.",2,2,4,vacant,650,dhaka,4600000.00,"Section 12, Mirpur"
"Start a new home, in this 2150 SQ FT apartment for sale in Bashundhara R-A",3,3,8,vacant,2150,dhaka,18500000.00,"Block C, Bashundhara R-A"
1316 Sq Ft Fine Flat Is Now For Sale Which Is In Bashundhara R/a Near To Iub,3,4,3,vacant,1316,dhaka,13500000.00,"Block C, Bashundhara R-A"
A rightly planned 1325 SQ FT flat is found for sale in Mirpur near Islami Bank Hospital,3,3,5,vacant,1325,dhaka,6500000.00,"Section 11, Mirpur"
"Make This 1852 Sq Ft Flat For Sale, Your Residing Location, In Bashundhara R/A Near JFP",3,3,5,vacant,1852,dhaka,21500000.00,"Block A, Bashundhara R-A"
1210 Square Feet Apartment Is For Sale At Maghbazar,3,3,1,vacant,1210,dhaka,6000000.00,"Boro Maghbazar, Maghbazar"
1654 SFT Three Bedroom Apartment | Vacant Now | Ready To Move in Uttara,3,4,5,vacant,1654,dhaka,11000000.00,"Sector 18, Uttara"
"1275 Square Feet Flat Is Available For Sale In Bashundhara R-a, Block J",3,3,6,vacant,1275,dhaka,12500000.00,"Block J, Bashundhara R-A"
"Best Location For Your Office, This 2600 Sq Ft Business Space Is Ready To Sale At Outer Circular Road, Shiddheswari",,,8,vacant,2600,dhaka,42900000.00,"Outer Circular Road, Shiddheswari"
"Dwell In This 1955 Sq Ft Apartment, Which Is Now Up For Sale In Shiddheswari",4,4,1,vacant,1955,dhaka,25237500.00,"Shiddeswari Road, Shiddheswari"
"1609 Sq Ft Suitable Apartment For Sale In Banasree, Block H",3,3,2,vacant,1609,dhaka,12800000.00,"Block H, Banasree"
This Flat Is Up For Sale At Shahjadpur Near Bangladesh Institute Of Management Studies,3,3,6,vacant,1500,dhaka,12800000.00,"Shahjadpur, Badda"
1207 SQ FT flat is now for sale in Badda near to Southeast Bank,3,3,6,vacant,1207,dhaka,12870000.00,"Shahjadpur, Badda"
A Fine Flat Is Now For Sale Which Is In Agargaon Near Agargaon Taltola Colony High School &amp; Womens&#039; College,3,3,5,vacant,1400,dhaka,6500000.00,Agargaon
An Apartment Is Up For Sale In Kallyanpur.,3,3,4,vacant,1430,dhaka,8580000.00,"Kallyanpur, Mirpur"
Flat For Sale In Arambag R/a Near Al Arabia Jame Masjid And Madrasa,3,3,8,vacant,1310,dhaka,7205000.00,"Arambag Residential Area, Mirpur"
Check this apartment for sale at Mirpur near Shahidbag Masjid,2,2,5,vacant,650,dhaka,2200000.00,"Section 12, Mirpur"
"850 Sq Ft Flat For Sale In Taltola, Khilgaon",2,2,2,vacant,850,dhaka,5500000.00,"Taltola, Khilgaon"
See this amazing office space in Uttara near to City Bank Limited,,,10,vacant,3100,dhaka,46500000.00,"Sector 3, Uttara"
Reasonable 1600 Sq Ft Flat Is Available For Sale In Badda Near To Badda Post Office,4,3,4,vacant,1600,dhaka,12000000.00,"Middle Badda, Badda"
1375 Sq. Ft. flat is now up for sale located in Mirpur DOHS,3,3,1,vacant,1375,dhaka,12000000.00,"Mirpur DOHS, Mirpur"
"A Nicely Build 1050 Sq Ft Apartment Is Vacant For Sale In Mirpur, Turag City",2,2,1,vacant,1050,dhaka,5500000.00,"Section 1, Mirpur"
Acquire This 130 Sq Ft Shop Which Is Up For Sale In Nikunja 2,,,2,vacant,130,dhaka,4200000.00,"Nikunja 2, Nikunja"
Be The Owner Of This 1450 Sq Ft Flat Which Is Vacant Now For Sale At West Shewrapara Nearby North South International School,3,3,9,vacant,1450,dhaka,8675000.00,"West Shewrapara, Mirpur"
"Situated In West Shewrapara, Near North South International School, A 1400 Sq Ft Apartment Is Up For Sale",3,3,7,vacant,1400,dhaka,8400000.00,"West Shewrapara, Mirpur"
"Near Shewrapara Jame Masjid, A Blissful Flat Is Available For Sale In West Shewrapara",3,3,2,vacant,1180,dhaka,6500000.00,"West Shewrapara, Mirpur"
"A 780 Sq Ft Flat Can Be Found In Bank Colony For Sale, Near Happy Isle International School",2,2,3,vacant,780,dhaka,2730000.00,"Bank Colony, Savar"
In Mirpur 1100 SQ FT flat is available for sale which is now close to Life Aid Specialized Hospital,3,2,7,vacant,1100,dhaka,4950000.00,"Middle Monipur, Mirpur"
Reasonable 1100 SQ FT flat is available for sale in Mirpur near to Life Aid Specialized Hospital,3,2,5,vacant,1100,dhaka,4950000.00,"Middle Monipur, Mirpur"
"Choose your destination, 1100 SQ FT flat which is available for sale in Mirpur near to Life Aid Specialized Hospital",3,2,4,vacant,1100,dhaka,4950000.00,"Middle Monipur, Mirpur"
Ready 1100 SQ FT flat is now for sale in Mirpur nearby Life Aid Specialized Hospital,3,2,3,vacant,1100,dhaka,4950000.00,"Middle Monipur, Mirpur"
1100 SQ FT flat is now for sale in Mirpur near to Life Aid Specialized Hospital,3,2,3,vacant,1100,dhaka,4950000.00,"Middle Monipur, Mirpur"
"Get Ready For Your Countless Peaceful Days With This 1096 Sq Ft Flat At 1st Colony, Mirpur Is Up To Sale",3,3,13,vacant,1096,dhaka,6600000.00,"1st Colony, Mirpur"
1365 Sq Ft Flat With Important Residential Features Is For Sale In Mirpur-10,3,3,3,vacant,1365,dhaka,7507500.00,"Section 10, Mirpur"
1365 Sq Ft Flat With Fine Residential Properties Is For Sale In Mirpur-10,3,3,5,vacant,1365,dhaka,7507500.00,"Section 10, Mirpur"
1365 Sq Ft Flat With Modern Residential Approaches Is For Sale In Mirpur-10,3,3,5,vacant,1365,dhaka,7507500.00,"Section 10, Mirpur"
A well-constructed 2415 SQ FT flat is for sale in Bashundhara R-A,3,4,6,vacant,2415,dhaka,25500000.00,"Block A, Bashundhara R-A"
"An Adequate And Cozy 810 Sq.Ft Flat Is For Sale At West Kazipara, Near Baitur Rob Jaame Masjid",2,2,3,vacant,810,dhaka,3402000.00,"West Kazipara, Mirpur"
"Well-developed Residence up for sale in Bashundhara R-A, of 1550 SQ FT",3,3,3,vacant,1550,dhaka,11500000.00,"Block H, Bashundhara R-A"
Take A Look At This 1050 Square Feet And 3 Bedroom Residential Apartment For Sale At East Monipur Next To Kuwaiti Masjid,3,3,7,vacant,1050,dhaka,3750000.00,"East Monipur, Mirpur"
"4200 Sq Ft Flat With Updated Residential Features Is Up For Sale In Bashundhara, Block I",4,4,4,vacant,4200,dhaka,50400000.00,"Block I, Bashundhara R-A"
Express Your Individuality At This 1400 Sq.ft Apartment Which Is Vacant For Sale In The Location Of South Monipur .,3,3,4,vacant,1400,dhaka,6300000.00,"South Monipur, Mirpur"
For Selling Purpose This Flat Is Now Vacant In The Location Of South Monipur .,3,3,9,vacant,1400,dhaka,6300000.00,"South Monipur, Mirpur"
Buy This Flat At South Monipur For The Ideal Urban Lifestyle You Dream About.,2,2,6,vacant,1000,dhaka,4500000.00,"South Monipur, Mirpur"
Close To Mirpur 10 Block C Water Tank A 1518 Square Feet Residential Apartment For Sale,4,3,6,vacant,1518,dhaka,10000000.00,"Section 10, Mirpur"
Worthy 1250 SQ FT Nice home is ready for sale at Mirpur 15,4,4,8,vacant,1250,dhaka,12500000.00,"Section 15, Mirpur"
2230 Sq Ft Ready Flat For Sale In Bashundhara R-a,4,4,5,vacant,2230,dhaka,16000000.00,"Block I, Bashundhara R-A"
Grab This 1200 Sq Ft Apartment Available For Sale In Joar Sahara,3,2,3,vacant,1200,dhaka,6500000.00,"Lichu Bagan Road, Joar Sahara"
A Newly Constructed Apartment In North Pirerbag Is Available For Sale Which Is 1050 Sq Ft,3,3,1,vacant,1050,dhaka,4500000.00,"Pirerbag, Mirpur"
Tastefully Designed This 650 Sq Ft Home Is Now Vacant For Sale In Mirpur,2,2,2,vacant,650,dhaka,4225000.00,"Section 10, Mirpur"
Attention Home Finders! A 1400 Sq.ft Flat Is Up For Sale In West Shewrapara Close To North South International School.,3,3,3,vacant,1400,dhaka,6300000.00,"West Shewrapara, Mirpur"
Very Next To North South International School 1400 Square Feet Large Apartment Is For Sale At West Shewrapara.,3,3,5,vacant,1400,dhaka,6300000.00,"West Shewrapara, Mirpur"
